year,rank,uri,wk_title,wk_artist,sp_title,sp_artist
2021,50,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,Whoopty,CJ,Whoopty,['CJ']
2021,51,spotify:track:1p0rEzrK7YtdRZVtiyV7RN,Lemonade,Internet Money and Gunna  Don Toliver and Nav,Lemonade (feat. NAV),"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']"
2021,52,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,Good Days,SZA,Good Days,['SZA']
2021,53,spotify:track:3TNSVsiFngfe68UJpMq1oS,Starting Over,Chris Stapleton,Starting Over,['Chris Stapleton']
2021,54,spotify:track:0A1hoCfMLkiAgvhWkkucJa,Body,Megan Thee Stallion,Body,['Megan Thee Stallion']
2021,55,spotify:track:0lx2cLdOt3piJbcaXIV74f,Willow,Taylor Swift,willow,['Taylor Swift']
2021,56,spotify:track:4SQLQfcR0vhyIN4uPBlc0d,Bang!,AJR,Bang!,['AJR']
2021,57,spotify:track:6gdLyYNuhWBzqwlOFSsXC7,Better Together,Luke Combs,Better Together,['Luke Combs']
2021,58,spotify:track:6tiKwZppNjrls8RsPQwK6r,You're Mines Still,Yung Bleu  Drake,You're Mines Still (feat. Drake),"['Yung Bleu', 'Drake']"
2021,59,spotify:track:1EJIcDYXwSqipW5dFe4uJz,Every Chance I Get,DJ Khaled  Lil Baby and Lil Durk,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"['DJ Khaled', 'Lil Baby', 'Lil Durk']"
2021,60,spotify:track:5FG7Tl93LdH117jEKYl3Cm,Essence,Wizkid  Justin Bieber and Tems,Essence (feat. Tems),"['Wizkid', 'Tems']"
2021,61,spotify:track:1ZIKpMTRPqhwAoVXWY3tXI,Chasing After You,Ryan Hurd and Maren Morris,Chasing After You (with Maren Morris),"['Ryan Hurd', 'Maren Morris']"
2021,62,spotify:track:3hLuHKzG1cmlRpq53ZVWd8,The Good Ones,Gabby Barrett,The Good Ones,['Gabby Barrett']
2021,63,spotify:track:1L3heY8BAY5vkZel5bn4tI,Leave Before You Love Me,Marshmello and Jonas Brothers,Leave Before You Love Me,"['Marshmello', 'Jonas Brothers']"
2021,64,spotify:track:472vIK1ldetTxRxG3ovaiY,Glad You Exist,Dan + Shay,Glad You Exist,['Dan + Shay']
2021,65,spotify:track:3S8jK1mGzQi24ilFb45DAZ,Lonely,Justin Bieber and Benny Blanco,Lonely (with benny blanco),"['Justin Bieber', 'benny blanco']"
2021,66,spotify:track:3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,Beggin',['Måneskin']
2021,67,spotify:track:60ynsPSSKe6O3sfwRnIBRf,Streets,Doja Cat,Streets,['Doja Cat']
2021,68,spotify:track:3aQem4jVGdhtg116TmJnHz,What's Next,Drake,What’s Next,['Drake']
2021,69,spotify:track:00KyYtT6NaXwbPecina5Pj,Famous Friends,Chris Young and Kane Brown,Famous Friends,"['Chris Young', 'Kane Brown']"
2021,70,spotify:track:33aow0AcXYvT1FoWNzMcqN,Lil Bit,Nelly and Florida Georgia Line,Lil Bit (feat. Florida Georgia Line),"['Nelly', 'Florida Georgia Line']"
2021,71,spotify:track:5zNW5ARjYhJQJz1AChP33n,Thot Shit,Megan Thee Stallion,Thot Shit,['Megan Thee Stallion']
2021,72,spotify:track:6kksmL4t09IgxhajuVDDxR,Late at Night,Roddy Ricch,late at night,['Roddy Ricch']
2021,73,spotify:track:7a53HqqArd4b9NF4XAmlbI,Kings & Queens,Ava Max,Kings & Queens,['Ava Max']
2021,74,spotify:track:2WnAKZefdRHxtBEkRjFOHC,Anyone,Justin Bieber,Anyone,['Justin Bieber']
2021,75,spotify:track:5hChuUMe5iHfjkXgzj1D4b,Track Star,Mooski,Track Star,['Mooski']
