year,rank,id,uri,track_href,analysis_url,wk_title,wk_artist,sp_title,sp_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
1980,35,2uKJxjqcFu2Pr2CEsGGYJa,spotify:track:2uKJxjqcFu2Pr2CEsGGYJa,https://api.spotify.com/v1/tracks/2uKJxjqcFu2Pr2CEsGGYJa,https://api.spotify.com/v1/audio-analysis/2uKJxjqcFu2Pr2CEsGGYJa,Ladies' Night,Kool & the Gang,Ladies Night,['Kool & The Gang'],0.657,0.431,9.0,-15.682,1.0,0.166,0.149,2.18e-05,0.0428,0.926,112.008,audio_features,385507.0,4.0
1980,36,0jNTJSaktLVy8iAi7KY2zB,spotify:track:0jNTJSaktLVy8iAi7KY2zB,https://api.spotify.com/v1/tracks/0jNTJSaktLVy8iAi7KY2zB,https://api.spotify.com/v1/audio-analysis/0jNTJSaktLVy8iAi7KY2zB,Too Hot,Kool & the Gang,Too Hot,['Kool & The Gang'],0.717,0.253,7.0,-22.231,0.0,0.161,0.56,2.85e-05,0.0556,0.737,105.289,audio_features,295160.0,4.0
1980,37,1vL2jApEjTYUtGaBAjm2nR,spotify:track:1vL2jApEjTYUtGaBAjm2nR,https://api.spotify.com/v1/tracks/1vL2jApEjTYUtGaBAjm2nR,https://api.spotify.com/v1/audio-analysis/1vL2jApEjTYUtGaBAjm2nR,Take Your Time (Do It Right),The S.O.S. Band,Take Your Time (Do It Right),"['The S.O.S Band', 'Ms. Angela']",0.917,0.489,0.0,-5.417,1.0,0.0569,0.134,0.0,0.0664,0.603,118.12,audio_features,209987.0,4.0
1980,38,1wSPm3y4Lk6ABkVxCmwkZx,spotify:track:1wSPm3y4Lk6ABkVxCmwkZx,https://api.spotify.com/v1/tracks/1wSPm3y4Lk6ABkVxCmwkZx,https://api.spotify.com/v1/audio-analysis/1wSPm3y4Lk6ABkVxCmwkZx,No More Tears (Enough Is Enough),Barbra Streisand & Donna Summer,No More Tears (Enough Is Enough) (feat. Donna Summer),"['Barbra Streisand', 'Donna Summer']",0.502,0.646,2.0,-8.235,0.0,0.0799,0.508,7.08e-05,0.32,0.261,135.209,audio_features,282493.0,4.0
1980,39,5hqa99q3MzWAf8lyttmipG,spotify:track:5hqa99q3MzWAf8lyttmipG,https://api.spotify.com/v1/tracks/5hqa99q3MzWAf8lyttmipG,https://api.spotify.com/v1/audio-analysis/5hqa99q3MzWAf8lyttmipG,More Love,Kim Carnes,More Love,['Kim Carnes'],0.515,0.498,0.0,-11.136,0.0,0.0526,0.397,2.24e-06,0.101,0.659,205.277,audio_features,215987.0,4.0
1980,40,6z3HAUZpAyJ0ctsbAwAiw3,spotify:track:6z3HAUZpAyJ0ctsbAwAiw3,https://api.spotify.com/v1/tracks/6z3HAUZpAyJ0ctsbAwAiw3,https://api.spotify.com/v1/audio-analysis/6z3HAUZpAyJ0ctsbAwAiw3,Pop Muzik,M,Pop Muzik,"['M', 'Robin Scott']",0.935,0.833,1.0,-7.493,1.0,0.0438,0.279,1.61e-05,0.0792,0.967,108.914,audio_features,200683.0,4.0
1980,41,1QaJWSCk3UMKLotnPCIHh1,spotify:track:1QaJWSCk3UMKLotnPCIHh1,https://api.spotify.com/v1/tracks/1QaJWSCk3UMKLotnPCIHh1,https://api.spotify.com/v1/audio-analysis/1QaJWSCk3UMKLotnPCIHh1,Brass in Pocket,The Pretenders,Brass in Pocket - 2006 Remaster,['Pretenders'],0.751,0.703,9.0,-5.687,1.0,0.0287,0.368,0.00123,0.196,0.907,97.931,audio_features,185960.0,4.0
1980,42,570KJytRkVHTIocq1qomWF,spotify:track:570KJytRkVHTIocq1qomWF,https://api.spotify.com/v1/tracks/570KJytRkVHTIocq1qomWF,https://api.spotify.com/v1/audio-analysis/570KJytRkVHTIocq1qomWF,Special Lady,"Ray, Goodman & Brown",Special Lady,"['Ray, Goodman & Brown']",0.551,0.447,9.0,-12.293,1.0,0.0401,0.463,3.73e-06,0.189,0.558,84.175,audio_features,252800.0,4.0
1980,43,3GcHkmz4horYIEPYvdB0xF,spotify:track:3GcHkmz4horYIEPYvdB0xF,https://api.spotify.com/v1/tracks/3GcHkmz4horYIEPYvdB0xF,https://api.spotify.com/v1/audio-analysis/3GcHkmz4horYIEPYvdB0xF,Send One Your Love,Stevie Wonder,Send One Your Love,['Stevie Wonder'],0.624,0.358,0.0,-17.456,0.0,0.0814,0.715,1.25e-05,0.0862,0.418,72.841,audio_features,242333.0,4.0
1980,44,6yh8yf1jpPrTMA5cezYpbi,spotify:track:6yh8yf1jpPrTMA5cezYpbi,https://api.spotify.com/v1/tracks/6yh8yf1jpPrTMA5cezYpbi,https://api.spotify.com/v1/audio-analysis/6yh8yf1jpPrTMA5cezYpbi,The Second Time Around,Shalamar,The Second Time Around,['Shalamar'],0.801,0.388,1.0,-12.135,1.0,0.0505,0.0123,7.16e-05,0.0924,0.577,112.367,audio_features,223293.0,4.0
1980,45,3Ug96zKa29P3vICEEcYajZ,spotify:track:3Ug96zKa29P3vICEEcYajZ,https://api.spotify.com/v1/tracks/3Ug96zKa29P3vICEEcYajZ,https://api.spotify.com/v1/audio-analysis/3Ug96zKa29P3vICEEcYajZ,We Don't Talk Anymore,Cliff Richard,We Don't Talk Anymore - 2001 Remaster,['Cliff Richard'],0.746,0.703,0.0,-7.853,1.0,0.0291,0.0014,0.00414,0.066,0.733,111.569,audio_features,257160.0,4.0
1980,46,6VZdUa8JjaGF2LGsiRG9lC,spotify:track:6VZdUa8JjaGF2LGsiRG9lC,https://api.spotify.com/v1/tracks/6VZdUa8JjaGF2LGsiRG9lC,https://api.spotify.com/v1/audio-analysis/6VZdUa8JjaGF2LGsiRG9lC,Stomp!,The Brothers Johnson,Stomp!,['The Brothers Johnson'],0.869,0.729,7.0,-12.668,0.0,0.0418,0.134,0.269,0.0872,0.917,119.711,audio_features,380400.0,4.0
1980,47,1vLlzUAREiFMWgskzefFPr,spotify:track:1vLlzUAREiFMWgskzefFPr,https://api.spotify.com/v1/tracks/1vLlzUAREiFMWgskzefFPr,https://api.spotify.com/v1/audio-analysis/1vLlzUAREiFMWgskzefFPr,Heartache Tonight,Eagles,Heartache Tonight - 2013 Remaster,['Eagles'],0.81,0.511,0.0,-6.454,1.0,0.0409,0.0778,0.000226,0.0714,0.858,113.153,audio_features,265678.0,4.0
1980,48,6Xra5OzOYRidIs5Oplm1g0,spotify:track:6Xra5OzOYRidIs5Oplm1g0,https://api.spotify.com/v1/tracks/6Xra5OzOYRidIs5Oplm1g0,https://api.spotify.com/v1/audio-analysis/6Xra5OzOYRidIs5Oplm1g0,Tired of Toein' the Line,Rocky Burnette,Tired of Toein' the Line,['Rocky Burnette'],0.677,0.673,7.0,-13.673,1.0,0.0334,0.399,6.13e-06,0.354,0.855,121.245,audio_features,221243.0,4.0
1980,49,3LrFVEZ9w4hVHS3sIRmzZk,spotify:track:3LrFVEZ9w4hVHS3sIRmzZk,https://api.spotify.com/v1/tracks/3LrFVEZ9w4hVHS3sIRmzZk,https://api.spotify.com/v1/audio-analysis/3LrFVEZ9w4hVHS3sIRmzZk,Better Love Next Time,Dr. Hook,Better Love Next Time,['Dr. Hook'],0.768,0.675,9.0,-10.048,1.0,0.0526,0.505,4.31e-06,0.0513,0.918,102.73,audio_features,182347.0,4.0
1980,50,5rMthFHPxRDi4Uxg06iK6H,spotify:track:5rMthFHPxRDi4Uxg06iK6H,https://api.spotify.com/v1/tracks/5rMthFHPxRDi4Uxg06iK6H,https://api.spotify.com/v1/audio-analysis/5rMthFHPxRDi4Uxg06iK6H,Him,Rupert Holmes,Him,['Rupert Holmes'],0.718,0.437,4.0,-13.524,1.0,0.0319,0.339,0.0,0.0504,0.962,109.438,audio_features,246293.0,4.0
1980,51,1SWmFiFSIBoDbQJjNKC7SR,spotify:track:1SWmFiFSIBoDbQJjNKC7SR,https://api.spotify.com/v1/tracks/1SWmFiFSIBoDbQJjNKC7SR,https://api.spotify.com/v1/audio-analysis/1SWmFiFSIBoDbQJjNKC7SR,Against the Wind,Bob Seger and the Silver Bullet Band,Against The Wind,['Bob Seger'],0.674,0.771,7.0,-5.612,1.0,0.0246,0.28,0.0318,0.133,0.718,109.618,audio_features,333720.0,4.0
